Part,,,Part number,Board location,Number of parts per board,number of parts for 7 boards,datasheet,ordered
optocouplers,Vishay VOM452T 1MBps optocoupler,,https://www.mouser.com/ProductDetail/Vishay-Semiconductors/VOM452T?qs=%2Fha2pyFadugllABZ%2FVg8lJFHMC9tdMZc0Sfh7ZTOr94%3D,"U6, U7, U2, U4, U8, U9, U3, U5",8,56,,x
radio,,,,,1,7,,
accelerometer,EVAL-ADXL372Z,,,U1,1,7,,
input resistor,95 ohms,"""0603""",https://www.mouser.com/ProductDetail/YAGEO/RC0603JR-7W100RL?qs=tggtontpCXNb6PZs9ghEpg%3D%3D,"R9, R10, R1, R3, R11, R12, R2, R4",8,56,,x
output resistor,1.9k,"""0603""",https://www.mouser.com/ProductDetail/755-SDR03EZPJ182,"R13, R14, R5, R7, R15, R16, R6, R8",8,56,,x
power led resistor,840 ohms,"""0603""",https://www.mouser.com/ProductDetail/Panasonic/ERJ-PA3F8660V?qs=BzJM0faLVqUafluXBRs%2FoA%3D%3D,R17,1,7,,x
output cap,0.1 uF,"""0603""",https://www.mouser.com/ProductDetail/Taiyo-Yuden/LMK107B7224KA-T?qs=PzICbMaShUeYy583aq%2F9Ug%3D%3D,"C5, C6, C1, C3, C7, C8, C2, C4",8,56,,x
2-pin conector,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,"POWER1, J2",2,14,,
4-pin connector,Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,,,"J5, J1, J10, J3, J6",5,35,,
power LED,,"""0603""",https://www.mouser.com/ProductDetail/859-LTST-C194TBKT,D1,1,7,,
5V TVS,,,https://www.mouser.com/ProductDetail/Diodes-Incorporated/SMAJ50AQ-13-F?qs=17u8i%2FzlE8%2FlC4rBSQmAww%3D%3D,D3,1,7,,
reverse voltage protection diode,,"""0603""",https://www.mouser.com/ProductDetail/Comchip-Technology/CDBU0340?qs=2qJf6qQ4IOJBlNKweYgMfw%3D%3D,D2,1,7,,
0603 ptc,,,https://www.mouser.com/ProductDetail/Littelfuse/0603L020YR?qs=PalBzRKzfnvE7OEyWdBD6A%3D%3D,F1,1,7,https://www.mouser.com/datasheet/2/240/Littelfuse_PTC_0603L_Datasheet_pdf-596523.pdf,
"0.1"" pin strip",5,,https://www.mouser.com/ProductDetail/Preci-dip/350-10-105-00-006101?qs=6AoMy99Q1XczKcQHGMMCKQ%3D%3D,For EVAL-ADXL372Z,2,14,,
"0.1"" pin strip",24,,https://www.mouser.com/ProductDetail/Molex/90120-0784?qs=PvP5v7EimsngJkBSR8%2FBJg%3D%3D,For Teensy 4.1,2,14,,
Teensy 4.1,,,,,,,,
